"id_men","culture_label","superficie","production_kg"
1,"Arachide",3,1500
1,"Mais",1,500
1,"Mil",2,1100
2,"Arachide",1,750
2,"Mais",1,1000
2,"Mil",1,700
3,"Arachide",11,7000
3,"Mais",2,400
3,"Mil",5,2000
4,"Arachide",0.25,150
4,"Mais",1,250
5,"Arachide",2,312
5,"Mil",1,300
5,"Niébé",1,150
6,"Arachide",1,200
6,"Mil",1,300
7,"Bissap",1,200
8,"Arachide",2.6,1100
8,"Mil",2,935
9,"Arachide",6,7000
9,"Mais",2,4000
9,"Mil",6,8000
10,"Arachide",0.5,100
10,"Mil",0.5,100
10,"Niébé",0.5,50
11,"Mil",1.5,1100
12,"Arachide",3.5,2200
12,"Mais",1,0
12,"Riz",0.12,50
12,"Sorgho",2.5,1200
13,"Arachide",0.95,700
13,"Mil",0.6933,500
13,"Sorgho",1.4046,1000
14,"Menthe",0.25,500
15,"Arachide",4,500
15,"Mil",4,2500
16,"Arachide",2,1200
16,"Mil",3,1000
16,"Pastèque",2,9334
17,"Arachide",2,1440
18,"Mais",0.25,100
19,"Arachide",3.5,3250
19,"Mais",3,2275
19,"Sorgho",1.5,850
20,"Mil",0.16,100
21,"Arachide",0.038,16
21,"Mais",1.5518,1950
22,"Arachide",2,750
22,"Manioc",2,8000
22,"Mil",2,800
22,"Niébé",1,150
23,"Sorgho",0.3088,50
24,"Arachide",3.07252,1600
24,"Mais",0.73741,600
24,"Mil",0.89063,750
25,"Arachide",3,200
26,"Arachide",1,600
26,"Riz",1,150
27,"Arachide",3,400
27,"Mil",2,280
28,"Arachide",1,500
28,"Mil",1,700
28,"Niébé",1,80
29,"Arachide",3,120
29,"Mil",4,1367
29,"Niébé",3,300
30,"Arachide",1,800
30,"Mil",0.5,350
30,"Riz",0.5,140
31,"Arachide",1.5,1080
31,"Mais",3,4600
31,"Riz",0.5,400
32,"Mil",0.45,150
32,"Riz",0.55,441
33,"Arachide",1,100
33,"Mil",1,830
33,"Niébé",0.5,22
33,"Sorgho",0.5,68
34,"Arachide",3,900
34,"Mais",1,50
34,"Mil",2,200
35,"Arachide",1.5,600
35,"Mil",2,400
36,"Riz",0.35,300
37,"Arachide",0.25,237
37,"Mais",0.2,203
37,"Riz",0.36,160
37,"Sorgho",0.19,192
38,"Mil",2,600
39,"Mil",1,600
39,"Riz",1,1072.71598320379
40,"Arachide",1,100
40,"Mais",0.75,200
41,"Sorgho",1,720
42,"Niébé",1,100
43,"Arachide",0.5,200
43,"Mais",0.25,50
43,"Mil",1,500
43,"Sorgho",2,250
44,"Arachide",1,800
44,"Mil",2,1000
45,"Arachide",0.7138,500
45,"Mil",0.5476,250
46,"Arachide",6,6000
46,"Mais",3,1500
46,"Mil",5,2000
47,"Arachide",0.9961,900
47,"Mil",1.5648,2500
48,"Arachide",1,300
48,"Mil",1,200
49,"Arachide",3,1250
49,"Mais",2,600
49,"Mil",2,1000
50,"Bissap",1,105
51,"Riz",0.5,1750
52,"Arachide",10,1450
52,"Mil",10,500
52,"Niébé",10,1500
53,"Mil",2,400
53,"Sorgho",0.5,200
54,"Arachide",3,500
54,"Mil",5,2400
55,"Arachide",2,1500
55,"Mil",2,1000
56,"Arachide",1.5,300
56,"Mil",1,300
56,"Niébé",0.5,200
57,"Mais",1,1350
57,"Mil",1,850
57,"Sorgho",1,900
58,"Mil",1,350
59,"Mil",5,2000
60,"Arachide",0.5,70
61,"Arachide",2,1000
61,"Mais",1,300
61,"Mil",1.5,600
61,"Sorgho",1,400
62,"Arachide",4.9744,5500
62,"Mil",0.2504,150
62,"Sorgho",0.4414,160
63,"Arachide",1,500
63,"Sorgho",1,100
64,"Arachide",1,1600
64,"Riz",1,700
65,"Arachide",2,560
65,"Mil",2,600
65,"Riz",3,840
66,"Arachide",4,6000
66,"Mais",1,400
66,"Mil",4,1600
67,"Mil",0.6,300
67,"Riz",0.2,200
68,"Sorgho",1,768.31091180867
69,"Arachide",1,900
69,"Mais",1,1100
70,"Riz",0.9,950
70,"Sésame",0.5,50
71,"Arachide",1,500
71,"Mais",1,800
71,"Mil",1,600
72,"Arachide",15,8000
72,"Mais",10,6000
72,"Mil",10,4500
73,"Arachide",4,1000
73,"Mais",0.5,200
73,"Mil",3,1500
74,"Mil",0.4,147
74,"Riz",0.4,250
75,"Arachide",2,800
75,"Mais",2,1000
75,"Mil",2,2000
76,"Arachide",1,150
76,"Mil",2,400
76,"Niébé",1,25
77,"Riz",0.5,450
78,"Arachide",2,450
78,"Mil",1,400
78,"Niébé",2,100
79,"Mil",3,0
79,"Sésame",1,90
80,"Riz",1.5,1850
80,"Sésame",1,200
81,"Arachide",1.5,400
81,"Mais",0.5,50
81,"Riz",1,960
82,"Arachide",3.0193,1700
82,"Mais",0.8169,150
82,"Mil",0.9158,100
82,"Sorgho",0.597,50
83,"Arachide",2,1000
83,"Mil",1,400
84,"Mais",1,550
84,"Sorgho",1.1833,50
85,"Arachide",2,900
85,"Mil",2,900
86,"Niébé",0.15,21
87,"Arachide",1,450
87,"Mil",1.5,500
