regions,departements,communes,district_dr,villages,id_men,culture_label,culture,superficie,production_kg,appreciation,principal_prod,principal_prod_other,transformer_production,type_transformation,type_transformation_other,destination_prod
Kaffrine,Birkelane,N’DIOGNICK,-,Ngouye,1,Mil,Mil,2,1100,Beaucoup plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,N’DIOGNICK,-,Ngouye,1,Mais,Mais,1,500,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,N’DIOGNICK,-,Ngouye,1,Arachide,Arachide,3,1500,Beaucoup plus faible,Divagation du bétail,,Non,,,
Tambacounda,Bakel,MOUDERY,-,Tuabou,2,Mil,Mil,1,700,Un peu plus élevée,,,Non,,,
Tambacounda,Bakel,MOUDERY,-,Tuabou,2,Mais,Mais,1,1000,Un peu plus élevée,,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Tambacounda,Bakel,MOUDERY,-,Tuabou,2,Arachide,Arachide,1,750,Un peu plus élevée,,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Kaolack,Kaolack,KEUR SOCE,-,Loumene   Momath,3,Mil,Mil,5,2000,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Loumene   Momath,3,Mais,Mais,2,400,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Loumene   Momath,3,Arachide,Arachide,11,7000,Beaucoup plus faible,Peu de pluies,,Non,,,
Tambacounda,Bakel,TOUMBOURA,-,Goundafa,4,Mais,Mais,1,250,Un peu plus élevée,,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Tambacounda,Bakel,TOUMBOURA,-,Goundafa,4,Arachide,Arachide,.25,150,Un peu plus élevée,,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Thiès,Tivaouane,PEKESSE,-,Thieye Thieye,5,Mil,Mil,1,300,La même,,,Non,,,
Thiès,Tivaouane,PEKESSE,-,Thieye Thieye,5,Niébé,Niébé,1,150,Beaucoup plus faible,Peu de pluies,,Non,,,
